,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2026,,2026,,2026,,2026,,,2026,,2026,2027,2027,2027,2027,2027,,2027,2027,2027,2028,,,,,,,,,,
,,Себестоимость,,,,,,,,,,,,,,,,,,,,,,,,,КЦ,,,,,,,,,,,,
Тестовый контур,4.RTR,Реализация критичных разработок по Пилоту,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тестовый контур,,"Анализ сс, отчет по результатам анализа (ИТЭ)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тестовый контур,,Оценка доработок и стоимости реализации (ИТЭ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тестовый контур,,Реализация доработок по результатам анализа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тестовый контур,,Параллельное тестирование на Пилоте,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тестовый контур,,Миграция (для сс),,,,,,,,,,,,,,,Алтай,,,,,,,,,,,,,,,,,,,,,,
Тестовый контур,,Запуск тестового расчета себестоимости,,,,,,,,,,,,,,,,,Алтай ППК и БЦ,,,"Брянск ППК и БЦ
+ Липецк БЦ
+ Москва ППФ ППК и БЦ","Воронеж
+ Тула
+ Курск
+ Белгород
(ППК и БЦ)",,"+ Липецк ЦИ
+ Тюмень ППК и БЦ",,,Согласовать сдвиг сроков закрытия августа на начало октября,,,,,,,,,,,
Тестовый контур,,Выявление и устранение высоких и критичных дефектов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тестовый контур,,Запуск тестового расчета себестоимости,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Продуктивный контур,,Запуск продуктивного расчета себестоимости,,,,,,,,,,,,,,,,,,,,,,,,,,КЦ,,,,,,,,,,,
,,Регламент по методологии по себестоимости ORG-1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Бюджетный контроль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Продуктивный контур,4.RTR,Реализация критичных разработок по Пилоту,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Продуктивный контур,,Подготовка к запуску (чистка регистра),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Продуктивный контур,,"Запуск БК (обучение, запуск и поддержка пользователей)",,,,,,,,,,,,ВПФ,,,,,,,,,,,,,КЦ,,,,,,,,,,,,
,,Уточнение методологии для тиражных требований,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Реализация тиражных требований,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Онлайн себестоимость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Продуктивный контур,5.RTR,Реализация критичных разработок к Тиражу,,,,,,,,,,,,,,,tbd,,,,,,,,,,,,,,,,,,,,,,
Продуктивный контур,,Запуск онлайн себестоимости,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Казначейство и Корпоративные финансы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Реализация высоких разработок по Пилоту,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Реализация критичных разработок по Тиражу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Трансфертное ценообразование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Реализовать критичные разработки Пилота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Реализовать критичные разработки Тиража,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Татьяна Дмитриева, Коняшкина В. (переработка), Чудотворова (птица, яйцо) Аверичева Ю., Вика",,"Cогласовать с НУ методологию трансфертн. ценообразования ВГО сделок: 1) по мясосырью между производственными площадками (птица: курица, индейка) 2) по яйцу инкубационному 3) по суточному цыпленку 4) по рем. молодняку 5) по род.стаду",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Калашников К., Шугарева Ю. миграция договоров Тираж (письмо) список дог уже есть?",,"Cоставить карту ключевых пользователей по видам сделок, в рамках юр. лиц Пилота и Тиража 1 (УМК, ВПФ, УБ, ПКХП, ТБ, КЦ), ответственных: 1) методология расчета 1) за расчет трансфертных цен 2) за установку трансфертных цен",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"связь между MES и Корп (договоры и заказы) - Калашников, поля и интеграция (Алтай и Брянск)",,"Создать, настроить Виды цен (ВГО и Сторонние) и Видов цен Поставщиков (ВГО) под Тиражные юр.лица",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Настроить карточки договоров Тиража в части ЦО: присвоение Типов цен/плановых Типов цен, проверка НДС на соответствие с Видами цен, установка аналитики ""на дату заказа"" и проч.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Настроить мэппинг Видов цен и Видов цен Поставщика по Тиражным юр. лицам,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Обновить инструкции на основе реализованных разработок Пилота и Тиража,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Обучить и оказать поддержку новых пользователей профилей ТЦО,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
определить КП по ЦО,,Проработка ORG по ценообразованию,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ВГО (зеркалирование),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
